// ========================================================= //
// # GameServer 1.00.90 : PCPoints_WCoins.dat		   # //
// # GreatDevelop 1.0.1 2011		       	    	   # //
// # http://greatdevelop.ru, http://greatdevelop.ru/forum  # //
// ========================================================= //

[PCPoints]
Enabled			= 1 
MaximumPCPoints		= 10000
AddPCPointsSec		= 3600	// For Online System
AddPCPointsCount	= 10	// For Online System

[WCoins]
MaximumWCPoints = 10000

//==================================================================================================================================
//PCPoints Cafe Shop 
//==================================================================================================================================
//	Index	ID	Level	Opt	Luck	Skill	Exc	Anc	NewOpt1	NewOpt2	NewOpt3	NewOpt4	NewOpt5	Cost
//==================================================================================================================================
0
	13	43	0	0	0	0	0	0	255	255	255	255	255	6
	13	44	0	0	0	0	0	0	255	255	255	255	255	9
	13	45	0	0	0	0	0	0	255	255	255	255	255	15
	14	55	0	0	0	0	0	0	255	255	255	255	255	9
	14	56	0	0	0	0	0	0	255	255	255	255	255	15
	14	57	0	0	0	0	0	0	255	255	255	255	255	30
	13	15	0	0	0	0	0	0	255	255	255	255	255	100
	0	22	13	4	1	1	63	0	255	255	255	255	255	5
	7	1	12	4	1	1	1	5	255	255	255	255	255	5
	8	1	11	4	1	1	0	5	255	255	255	255	255	5
	9	1	18	4	1	1	5	0	255	255	255	255	255	5
	10	1	11	4	1	1	32	0	255	255	255	255	255	5
	14	41	0	0	0	0	0	0	255	255	255	255	255	5
	13	43	0	0	0	0	0	0	255	255	255	255	255	6
end

//==================================================================================================================================
//PCPoints Reward from Monsters
//==================================================================================================================================
1
	275	10
	310	20
	311	20
	312	20
	313	20
	314	20
	315	20
	316	20
	317	20
end

//==================================================================================================================================
//CashShop Points (W Coins) Reward from Monsters
//==================================================================================================================================
2
	275	10
	310	20
	311	20
	312	20
	313	20
	314	20
	315	20
	316	20
	317	20
end
